iter	Passed	Remaining
410	4423	6339
411	4436	6332
412	4448	6322
413	4458	6310
414	4468	6299
415	4477	6286
416	4488	6274
417	4497	6262
418	4508	6251
419	4518	6240
420	4529	6229
421	4540	6218
422	4550	6207
423	4560	6195
424	4571	6185
425	4582	6174
426	4591	6161
427	4601	6150
428	4611	6137
429	4620	6125
430	4631	6114
431	4641	6103
432	4652	6092
433	4663	6081
434	4672	6068
435	4682	6056
436	4692	6044
437	4702	6033
438	4711	6021
439	4721	6008
440	4731	5997
441	4740	5984
442	4750	5972
443	4759	5960
444	4769	5948
445	4779	5936
446	4789	5924
447	4799	5913
448	4808	5901
449	4818	5889
450	4828	5877
451	4838	5865
452	4849	5855
453	4859	5844
454	4869	5832
455	4880	5821
456	4889	5810
457	4899	5798
458	4909	5786
459	4919	5775
460	4929	5763
461	4940	5752
462	4949	5741
463	4960	5730
464	4970	5718
465	4980	5707
466	4990	5695
467	4999	5683
468	5009	5672
469	5020	5661
470	5030	5649
471	5039	5637
472	5049	5625
473	5059	5614
474	5068	5602
475	5079	5591
476	5088	5579
477	5098	5567
478	5108	5556
479	5118	5544
480	5128	5533
481	5138	5521
482	5147	5509
483	5157	5498
484	5167	5487
485	5180	5478
486	5191	5468
487	5203	5459
488	5214	5448
489	5225	5438
490	5239	5431
491	5250	5421
492	5262	5411
493	5272	5401
494	5282	5389
495	5293	5378
496	5303	5367
497	5313	5355
498	5324	5345
499	5334	5334
500	5345	5323
501	5355	5312
502	5364	5300
503	5374	5289
504	5384	5278
505	5394	5266
506	5405	5255
507	5414	5244
508	5424	5232
509	5435	5222
510	5445	5211
511	5456	5200
512	5467	5190
513	5476	5178
514	5486	5167
515	5496	5155
516	5506	5144
517	5516	5133
518	5526	5121
519	5535	5110
520	5545	5098
521	5556	5088
522	5568	5078
523	5581	5070
524	5604	5070
525	5626	5069
526	5638	5060
527	5653	5053
528	5665	5044
529	5676	5033
530	5687	5023
531	5697	5011
532	5708	5001
533	5719	4991
534	5729	4980
535	5740	4969
536	5751	4958
537	5761	4947
538	5771	4936
539	5782	4925
540	5792	4914
541	5803	4903
542	5814	4893
543	5825	4883
544	5837	4873
545	5849	4863
546	5859	4852
547	5871	4842
548	5881	4831
549	5891	4820
550	5902	4809
551	5913	4799
552	5923	4787
553	5934	4777
554	5945	4767
555	5955	4755
556	5966	4745
557	5978	4735
558	5988	4724
559	5999	4713
560	6009	4702
561	6021	4692
562	6033	4683
563	6043	4671
564	6053	4660
565	6065	4650
566	6075	4639
567	6085	4628
568	6097	4618
569	6106	4606
570	6117	4596
571	6128	4585
572	6137	4573
573	6148	4563
574	6158	4551
575	6167	4540
576	6179	4530
577	6188	4518
578	6198	4507
579	6209	4496
580	6218	4484
581	6229	4474
582	6239	4462
583	6249	4451
584	6261	4441
585	6270	4429
586	6280	4419
587	6291	4408
588	6301	4396
589	6312	4386
590	6322	4375
591	6332	4364
592	6343	4353
593	6355	4343
594	6366	4333
595	6378	4323
596	6388	4312
597	6398	4301
598	6410	4291
599	6420	4280
600	6430	4268
601	6442	4259
602	6454	4249
603	6466	4239
604	6478	4229
605	6489	4219
606	6500	4208
607	6511	4197
608	6523	4188
609	6534	4177
610	6545	4167
611	6558	4157
612	6569	4147
613	6578	4135
614	6590	4125
615	6600	4114
616	6612	4104
617	6624	4094
618	6636	4084
619	6646	4073
620	6657	4063
621	6667	4052
622	6678	4041
623	6690	4031
624	6702	4021
625	6712	4010
626	6722	3999
627	6733	3988
628	6743	3977
629	6754	3966
630	6764	3955
631	6773	3944
632	6783	3932
633	6792	3921
634	6803	3910
635	6813	3899
636	6822	3887
637	6832	3876
638	6841	3865
639	6851	3854
640	6861	3842
641	6871	3831
642	6880	3820
643	6890	3808
644	6900	3797
645	6909	3786
646	6919	3775
647	6930	3764
648	6939	3752
649	6949	3742
650	6958	3730
651	6968	3719
652	6978	3708
653	6987	3696
654	6998	3685
655	7007	3674
656	7017	3663
657	7029	3653
658	7042	3643
659	7054	3634
660	7065	3623
661	7077	3613
662	7090	3604
663	7103	3594
664	7114	3584
665	7124	3573
666	7136	3563
667	7148	3552
668	7158	3541
669	7169	3531
670	7180	3520
671	7190	3509
672	7201	3499
673	7213	3489
674	7223	3477
675	7235	3467
676	7246	3457
677	7257	3446
678	7268	3436
679	7279	3425
680	7289	3414
681	7301	3404
682	7312	3393
683	7321	3382
684	7333	3372
685	7344	3361
686	7353	3350
687	7366	3340
688	7377	3330
689	7387	3318
690	7398	3308
691	7409	3297
692	7419	3286
693	7431	3276
694	7441	3265
695	7452	3255
696	7465	3245
697	7475	3234
698	7485	3223
699	7496	3212
700	7506	3201
701	7516	3190
702	7528	3180
703	7537	3169
704	7548	3158
705	7560	3148
706	7570	3137
707	7581	3126
708	7594	3116
709	7604	3106
710	7614	3095
711	7626	3084
712	7635	3073
713	7646	3062
714	7659	3053
715	7670	3042
716	7683	3032
717	7705	3026
718	7728	3020
719	7743	3011
720	7754	3000
721	7768	2991
722	7781	2981
723	7794	2971
724	7805	2960
725	7815	2949
726	7827	2939
727	7838	2928
728	7847	2917
729	7859	2906
730	7872	2897
731	7882	2886
732	7893	2875
733	7904	2864
734	7913	2853
735	7924	2842
736	7934	2831
737	7943	2820
738	7954	2809
739	7964	2798
740	7974	2787
741	7985	2776
742	7995	2765
743	8005	2754
744	8016	2743
745	8026	2732
746	8037	2722
747	8047	2711
748	8057	2700
749	8069	2689
750	8079	2678
751	8089	2667
752	8098	2656
753	8107	2645
754	8118	2634
755	8127	2623
756	8137	2612
757	8147	2601
758	8157	2590
759	8169	2579
760	8182	2569
761	8194	2559
762	8205	2548
763	8216	2538
764	8226	2527
765	8237	2516
766	8247	2505
767	8257	2494
768	8267	2483
769	8277	2472
770	8286	2461
771	8297	2450
772	8307	2439
773	8317	2428
774	8328	2417
775	8338	2406
776	8348	2395
777	8357	2384
778	8368	2374
779	8379	2363
780	8389	2352
781	8399	2341
782	8410	2330
783	8419	2319
784	8430	2308
785	8439	2297
786	8449	2286
787	8462	2276
788	8472	2265
789	8483	2255
790	8493	2244
791	8503	2233
792	8514	2222
793	8523	2211
794	8532	2200
795	8542	2189
796	8552	2178
797	8562	2167
798	8571	2156
799	8582	2145
800	8592	2134
801	8602	2123
802	8612	2112
803	8621	2101
804	8631	2090
805	8642	2080
806	8651	2069
807	8661	2058
808	8671	2047
809	8681	2036
810	8691	2025
811	8700	2014
812	8711	2003
813	8721	1992
814	8730	1981
815	8743	1971
816	8755	1961
817	8766	1950
818	8778	1939
819	8787	1929
820	8798	1918
821	8809	1907
822	8819	1896
823	8830	1886
824	8841	1875
825	8853	1865
826	8863	1854
827	8874	1843
828	8883	1832
829	8893	1821
830	8903	1810
831	8913	1799
832	8923	1788
833	8933	1778
834	8943	1767
835	8954	1756
836	8964	1745
837	8974	1734
838	8984	1724
839	8994	1713
840	9004	1702
841	9014	1691
842	9024	1680
843	9033	1669
844	9043	1658
845	9056	1648
846	9067	1637
847	9077	1627
848	9087	1616
849	9097	1605
850	9108	1594
851	9118	1583
852	9128	1573
853	9137	1562
854	9147	1551
855	9157	1540
856	9167	1529
857	9176	1518
858	9186	1507
859	9196	1497
860	9206	1486
861	9217	1475
862	9227	1464
863	9238	1454
864	9249	1443
865	9259	1432
866	9269	1421
867	9279	1411
868	9289	1400
869	9300	1389
870	9310	1378
871	9320	1368
872	9330	1357
873	9339	1346
874	9350	1335
875	9359	1324
876	9371	1314
877	9383	1303
878	9393	1293
879	9404	1282
880	9414	1271
881	9423	1260
882	9433	1250
883	9443	1239
884	9453	1228
885	9465	1217
886	9476	1207
887	9485	1196
888	9495	1185
889	9505	1174
890	9515	1164
891	9525	1153
892	9535	1142
893	9545	1131
894	9554	1120
895	9564	1110
896	9574	1099
897	9584	1088
898	9594	1077
899	9603	1067
900	9613	1056
901	9623	1045
902	9633	1034
903	9643	1024
904	9655	1013
905	9665	1002
906	9675	992
907	9684	981
908	9694	970
909	9703	959
910	9714	949
911	9724	938
912	9734	927
913	9744	916
914	9754	906
915	9764	895
916	9776	884
917	9786	874
918	9796	863
919	9807	852
920	9818	842
921	9829	831
922	9854	822
923	9875	812
924	9890	801
925	9901	791
926	9915	780
927	9927	770
928	9937	759
929	9947	748
930	9957	737
931	9966	727
932	9977	716
933	9987	705
934	9996	694
935	10007	684
936	10017	673
937	10027	662
938	10036	651
939	10046	641
940	10057	630
941	10068	619
942	10078	609
943	10088	598
944	10098	587
945	10108	577
946	10117	566
947	10127	555
948	10137	544
949	10147	534
950	10158	523
951	10169	512
952	10179	502
953	10190	491
954	10199	480
955	10209	469
956	10222	459
957	10232	448
958	10243	437
959	10254	427
960	10264	416
961	10274	405
962	10283	395
963	10293	384
964	10303	373
965	10313	363
966	10323	352
967	10333	341
968	10343	330
969	10354	320
970	10363	309
971	10375	298
972	10386	288
973	10395	277
974	10406	266
975	10415	256
976	10425	245
977	10435	234
978	10446	224
979	10457	213
980	10471	202
981	10482	192
982	10494	181
983	10506	170
984	10518	160
985	10529	149
986	10541	138
987	10553	128
988	10563	117
989	10573	106
990	10583	96
991	10593	85
992	10603	74
993	10614	64
994	10624	53
995	10635	42
996	10645	32
997	10656	21
998	10668	10
999	10678	0
